USBL,SIGNED,40-Man,POS,NAME,B/T,DOB,STATUS,QO,BASE,FG WAR 24,FG WAR 25,GS,IP,AB,USBL,PTS,MLBAM_ID,DECISION,New 40,COST,,,,BA,PTS,MLB,PTS,P1500,PTS,FG,PTS
BGK,D2024585BGK20,,8,"MONTERO, WILLY",R,08/04/04,M3,,,,,,,,,,701206,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2015172ALE06,,1,"MONTES DE OCA, BRYCE",R,04/23/96,UFA,," $740,000 ",,,,,,,,656755,,,,,0.00,1,0.00,,,,,,,
FA,D2023736CS329,,1,"MONTES DE OCA, CHRISTIAN",R,08/30/99,M3,,,,0.00,0,3,,,,801216,,,,,0.00,1,0.00,,,,,,,
FM2,D2019411FM214,40,4,"MONTES, COCO",,10/07/96,O1,," $740,000 ",,0.00,,,11,,,663796,KEEP,40," $740,000 ",,12.00,4,0.00,,,,,,,
SPI,D2023031SPI1S,,8,"MONTES, LAZARO",,10/22/04,M4,,,,,,,,SEA 03 [61],41.60,703155,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
NEE,D2022248NEE09,,3,"MONTESINO, DANIEL",L,02/12/04,M5,,,,,,,,,,694220,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
MER,D2024533MER18,,8,"MONTEVERDE, CARLOS",L,12/10/05,M3,,,,,,,,,,808272,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
OSC,D2022482OSC17,,0,"MONTEVERDE, PATRICK",L,09/24/97,M5,,,,0.10,0,4,,,,687287,KEEP,, $-   ,,0.00,0,0.10,,,,,,,
BRB,D2022009KC101,,8,"MONTGOMERY, BENNY",R,09/09/02,M5,,,,,,,,CON 16,15.00,695603,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
HAH,D2025014HAH01,,8,"MONTGOMERY, BRADEN",B/R,04/16/03,M2,,,,,,,,CHA 05 [70],40.34,695731,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FM2,D2024418FM214,,0,"MONTGOMERY, CARSON",R,08/13/02,M3,,,,,,,,SDN HM,0.00,691000,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
NEE,D2022030NEE1S,40,6,"MONTGOMERY, COLSON",L,02/27/02,O,," $740,000 ",,2.70,,,268,CHA 03 [39],44.68,695657,KEEP,40," $740,000 ",,281.00,6,2.70,,,,,,,
PEC,D2015100SDP04,40,0,"MONTGOMERY, JORDAN",L,12/27/92,FA26,," $6,453,155 ",0.60,,,,,,,656756,INJURED,40," $6,453,155 ",,0.00,0,0.00,,,,,,,
MUN,D2019473MUN16,40,1,"MONTGOMERY, MASON",L,06/17/00,O,," $740,000 ",0.30,0.30,0,48,,TBA 23,9.37,682254,KEEP,40," $740,000 ",,0.00,1,0.30,,,,,,,
TUT,D2025216TUT08,,2,"MONTGOMERY, NICK",R/R,11/07/05,M2,,,,,,,,ATN 17,12.20,807277,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
PEC,D2023401PEC14,,3,"MONTGOMERY, TORIN",R,05/02/01,M4,,,,,,,,,,687942,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
GLL,D2025102GLL04,,6,"MONTILLA, FRANYERBER",B/R,04/15/05,M2,,,,,,,,DEA 16,17.36,800508,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
SH1,D2024269BAB09,,6,"MONZON, JOSE",L,11/17/05,M3,,,,,,,,,,808267,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
HAH,D2024099SHC04,,6,"MOONEY, ALEX",R,07/06/02,M3,,,,,,,,,,695612,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
CHH,"D2022750LVA34
D2023577CHH20",RELEASE,0,"MOONEY, SEAN",R,10/06/03,M5,,,,,,,,,,668855,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2023521RFS18,,0,"MOORE, ANDREW",,08/11/99,M2,,,,,,,,,,681097,,,,,0.00,0,0.00,,,,,,,
PEC,D2025318PEC11,,0,"MOORE, BROCK",R/R,05/17/00,M2,,,,,,,,SEA 28,3.43,822160,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
ALC,D2023587ALC20,,4,"MOORE, BRODY",R,07/20/00,M4,,,,,,,,,,690914,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
OSC,D2025011OSC01,40,4,"MOORE, CHRISTIAN",R/R,10/21/02,O,," $740,000 ",,0.20,,,170,LAA 01 [71],40.20,695681,KEEP,40," $740,000 ",,179.00,4,0.20,,,,,,,
NEE,D2016343INC12,40,4,"MOORE, DYLAN",R,08/02/92,A6,," $2,476,616 ",2.40,-0.10,,,230,,,664238,KEEP,40," $2,476,616 ",,242.00,4,-0.10,,,,,,,
NYG,D2025039NYG02,,2,"MOORE, MALCOLM",L/R,07/31/03,M2,,,,,,,,TEA 05,24.14,702270,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
CHH,D2008JAS14,40,1,"MOORE, MATT",L,06/18/89,FA26,," $7,532,308 ",-0.70,,,,,,,519043,INJURED,40," $1,506,462 ",,0.00,1,0.00,,,,,,,
FA,D2022670LVA24,,1,"MOORE, MCKINLEY",R,10/06/03,UFA,," $740,000 ",,,,,,,,686842,,,,,0.00,1,0.00,,,,,,,
LVA,D2023094LVA04,,4,"MOORE, ROBERT",B,03/31/02,M4,,,,,,,,,,691001,KEEP,, $-   ,,0.00,4,0.00,,,,,,,
BBS,D2020466NYG16,RELEASE,8,"MOQUETE, DARLIN",,09/19/99,MR5,,,,,,,,,,680642,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2019648RFS23,,6,"MORA, EDISON",R,08/13/00,MR5,,,,,,,,,,681812,,,,,0.00,6,0.00,,,,,,,
FA,D2016462BOB16,,0,"MORA, LUIS",R,06/17/95,M5,,,,,,,,,,650306,,,,,0.00,0,0.00,,,,,,,
FA,D2023717BGK27,,0,"MORA, MIGUEL",,11/04/01,M2,,,,,,,,,,693737,,,,,0.00,0,0.00,,,,,,,
MUN,D2023129MUN05,,6,"MORABITO, NICK",R,05/07/03,M4,,,,,,,,NYN 17,15.00,703492,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
ALC,D2023264ALC09,,0,"MORALES, ACCIMIAS",,09/13/04,M4,,,,,,,,,,703193,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HIB,D2024506HIB17,,8,"MORALES, COBY",L,12/05/01,M3,,,,,,,,,,815089,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
INC,D2025018INC01,,6,"MORALES, EMIL",R/R,09/22/06,M2,,,,,,,,LAN 06,29.64,815896,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2018072RFS03,,0,"MORALES, FRANCISCO ",R,10/27/99,MR5,,,,,,,,,,672839,,,,,0.00,0,0.00,,,,,,,
FA,D2020619BGK22,,0,"MORALES, GABRIEL",,04/14/99,M5,,,,,,,,,,672385,,,,,0.00,0,0.00,,,,,,,
FA,D2019602NYG21,,2,"MORALES, JEFERSON",,05/13/99,MR5,,,,,,,,,,672373,,,,,0.00,2,0.00,,,,,,,
FA,D2016524ALD18,,2,"MORALES, JONATHAN",R,01/29/95,MR5,,,,,,,,,,664966,,,,,0.00,2,0.00,,,,,,,
FA,D2018550PBW19,,0,"MORALES, KARLOS ",L,08/10/99,MR5,,,,,,,,,,676342,,,,,0.00,0,0.00,,,,,,,
FA,D2023147BGS05,,8,"MORALES, LUIS",,12/06/00,M2,,,,,,,,,,682945,,,,,0.00,8,0.00,,,,,,,
HIB,D2024021HIB01,40,0,"MORALES, LUIS",R,09/24/02,O,," $740,000 ",,0.50,9,51,,OAA 04,24.30,806960,KEEP,40," $740,000 ",,0.00,0,0.50,,,,,,,
MOE,D2022107SSC04,,0,"MORALES, MICHAEL",R,08/13/02,M5,,,,,,,,SEA 15,18.29,691786,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2015707AKV29,,2,"MORALES, ROY",R,06/25/95,MR5,,,,,,,,,,641896,,,,,0.00,2,0.00,,,,,,,
TUT,D2024034TUT02,,5,"MORALES, YOHANDY",R,10/09/01,M3,,,,,,,,WAN 15,16.69,691002,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
FA,D2010SPI07,,1,"MORAN, BRIAN",L,09/30/88,UFA,," $740,000 ",,,,,,,,572383,,,,,0.00,1,0.00,,,,,,,
FA,D2014013PIC01,,3,"MORAN, COLIN",L,10/01/92,UFA,," $740,000 ",,,,,,,,592567,,,,,0.00,3,0.00,,,,,,,
SL1,D2016468LVP16,40,1,"MORAN, JOVANI",L,04/24/97,O3,," $740,000 ",,0.00,0,4,,,,663558,KEEP,40," $740,000 ",,0.00,1,0.00,,,,,,,
BGK,D2024699MER24,,0,"MORAO, FRANCISCO",L,11/15/05,M3,,,,,,,,,,808262,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BAM,D2024557BAM19,,0,"MOREHOUSE, ZANE",R,11/16/99,M3,,,,,,,,,,689557,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
SAG,D2018013GLL01,40,1,"MOREJON, ADRIAN",L,02/27/99,A5,," $8,728,120 ",1.10,2.20,0,77,,,,670970,KEEP,40," $8,728,120 ",,0.00,1,2.20,,,,,,,
HIB,D2024206HIB07,,8,"MOREL, BRAYLIN",R,01/19/06,M3,,,,,,,,TEA 18,12.07,808281,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
MUN,D2019329RCR11,40,8,"MOREL, CHRISTOPHER",R,06/24/99,O3,," $740,000 ",-1.00,-0.10,,,292,,,666624,KEEP,40," $740,000 ",,307.00,8,-0.10,,,,,,,
MER,D2020168MER06,,6,"MOREL, RAFAEL",R,11/22/01,MR5,,,,,,,,,,682662,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
LVA,D2019168NEE06,40,2,"MORENO, GABRIEL",R,02/14/00,O2,," $1,480,000 ",2.50,2.70,,,291,,,672515,KEEP,40," $1,480,000 ",,306.00,2,2.70,,,,,,,
FA,D2016260GLL09,,1,"MORENO, GERSON",R,09/10/95,MR5,,,,,,,,,,642575,,,,,0.00,1,0.00,,,,,,,
LVA,D2025670LVA25,RELEASE,0,"MORENO, JOHAN",R,09/10/04,M2,,,,,,,,,,820884,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2021092HOG04,,0,"MORENO, KOEN",,08/01/01,MR5,,,,,,,,,,691103,,,,,0.00,0,0.00,,,,,,,
CHH,D2023404CHH14,,1,"MORENO, LUIS",,08/03/98,M4,,,,,,,,,,672382,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
HIB,D2023708HIB26,,6,"MORENO, LUIS",,01/13/03,M4,,,,,,,,,,691306,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
NEE,D2023233NEE08,,0,"MORENO, LUIS",,05/29/99,M4,,,,,,,,,,691032,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,FA2023CS3,,1,"MORETA, DAURI",R,04/15/96,UFA,," $740,000 ",,0.10,0,18,,,,664294,,,,,0.00,1,0.10,,,,,,,
BRM,D2025330BRM11,,0,"MORETA, EDGAR",R/R,09/05/03,M2,,,,,,,,,,807756,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HIB,D2025074HIB03,,0,"MORFE, KEELER",R/R,06/09/06,M2,,,,,,,,BAA 17,14.80,808323,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BRB,D2025367BRB13,,1,"MORGAN, DAVID",0,10/26/99,O,," $740,000 ",,0.30,2,50,,SDN HM,0.00,688158,KEEP,," $740,000 ",,0.00,1,0.30,,,,,,,
BAM,D2018209BAM07,40,1,"MORGAN, ELIJAH ",R,05/13/96,A4,," $1,000,000 ",0.30,-0.30,0,8,,,,669212,INJURED,40," $1,000,000 ",,0.00,1,-0.30,,,,,,,
FA,D2015035JASCA,,4,"MORGAN, JOSH",,11/16/95,MR5,,,,,,,,,,656766,,,,,0.00,4,0.00,,,,,,,
FM2,D2025407FM214,,0,"MORGAN, MARCUS",R/R,12/27/02,M2,,,,,,,,,,808861,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HIB,D2024148FM205,,3,"MORGAN, TRE’",L,07/16/02,M3,,,,,,,,TBA 06 [97],36.56,691003,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FM2,D2023579FM220,,2,"MORGAN, ZACH",R,03/30/00,M4,,,,,,,,,,681439,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
FA,D2020632JAS23,,1,"MORILLO, DAVID",,09/26/01,MR5,,,,,,,,,,683565,,,,,0.00,1,0.00,,,,,,,
HIB,D2025194HIB07,,2,"MORILLO, JIRVIN",0,01/10/07,M2,,,,,,,,CIN 22,9.13,821073,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
INC,"D2020650PSD24
D2024493INC17",,1,"MORILLO, JUAN",,03/19/99,O,," $740,000 ",,0.30,0,36,,,,666661,KEEP,," $740,000 ",,0.00,1,0.30,,,,,,,
FA,D2013581BRD19,,1,"MORIN, MIKE",R,05/03/91,UFA,," $740,000 ",,,,,,,,573046,,,,,0.00,1,0.00,,,,,,,
FA,D2022111SHC04,,4,"MORISSETTE, CODY",L,01/16/00,M4,,,,,,,,,,681357,,,,,0.00,4,0.00,,,,,,,
FA,D2019414PEC14,,8,"MORITZ, ANDREW",,12/22/96,MR5,,,,,,,,,,680938,,,,,0.00,8,0.00,,,,,,,
MUN,D2025032MUN1S,,8,"MORLANDO, PJ",L/R,05/16/05,M2,,,,,,,,MMN 05,24.89,703563,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2020524GLL18,,0,"MORREALE, NICK",R,07/27/97,M5,,,,,,,,,,687159,,,,,0.00,0,0.00,,,,,,,
MOE,D2023274CHD10,,0,"MORRIS, ANDREW",R,09/01/01,M4,,,,,,,,MNA 07,24.69,702193,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2016568ALE19,,1,"MORRIS, CODY",R,11/04/96,UFA,," $740,000 ",,,,,,,,663752,,,,,0.00,1,0.00,,,,,,,
NEE,D2024198NEE07,,0,"MORRIS, KADE",R,06/21/02,M3,,,,,,,,OAA 13,16.20,695034,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020212PSD08,,6,"MORRIS, TANNER",L,09/13/98,MR5,,,,,,,,,,671088,,,,,0.00,6,0.00,,,,,,,
MOE,D2024143MER05,,6,"MORROBEL, FELIX",B,09/24/05,M3,,,,,,,,LAA 18,10.40,807011,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
NEE,D2022128NEE05,,8,"MORROBEL, YEISON",L,12/08/03,M5,,,,,,,,TEA HM,0.00,694218,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
LVA,D2025685LVA26,,0,"MORSE, CODY",L/L,04/25/03,M2,,,,,,,,,,701808,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2006WAN,,0,"MORTON, CHARLIE",R,10/12/83,UFA,2019," $740,000 ",1.10,0.30,28,149,,,,450203,,,,,0.00,0,0.30,,,,,,,
SH1,D2024359BAB12,,0,"MORTON, ISAAC",R,09/14/04,M3,,,,,,,,,,814819,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020642GLL23,,8,"MORTON, KADON",R,11/19/00,MR5,,,,,,,,,,683170,,,,,0.00,8,0.00,,,,,,,
FA,D2014480BAB16,,0,"MOSELEY, RYAN",R,10/06/94,MR5,,,,,,,,,,641899,,,,,0.00,0,0.00,,,,,,,
OSC,D2024822OSC33,,1,"MOSQUEA, DALBERT",R,06/01/05,M3,,,,,,,,,,815122,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
BBS,D2023674BGS24,RELEASE,0,"MOSQUEDA, ODDANIER",,05/06/99,M4,,,,,,,,,,665996,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
MOE,D2024711MOE25,,6,"MOSQUERA, DIEGO",R,03/14/04,M3,,,,,,,,,,699305,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
BBS,D2024410BBS14,,3,"MOSS, JACK",L,10/30/01,M3,,,,,,,,,,694380,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
FA,D2019460BOB16,,4,"MOSS, KEITHRON",B,08/20/01,MR5,,,,,,,,,,679736,,,,,0.00,4,0.00,,,,,,,
FA,D2017212WT108,,0,"MOSS, SCOTT",L,10/06/94,MR5,,,,,,,,,,641900,,,,,0.00,0,0.00,,,,,,,
FA,D2012597BRB20,,4,"MOTTER, TAYLOR",R,09/18/89,UFA,," $740,000 ",,,,,,,,600301,,,,,0.00,4,0.00,,,,,,,
ALC,D2016043JAS02,40,3,"MOUNTCASTLE, RYAN",R,02/18/97,A5,," $4,831,407 ",1.50,-0.40,,,349,,,663624,KEEP,40," $4,831,407 ",,366.00,3,-0.40,,,,,,,
FA,D2008JAS01,,5,"MOUSTAKAS, MIKE",L,09/11/88,UFA,," $740,000 ",,,,,,,,519058,,,,,0.00,5,0.00,,,,,,,
OSC,D2022017GLL01,,0,"MOZZICATO, FRANK",,06/19/03,M5,,,,,,,,KCA 13,15.94,700924,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020640FM223,,1,"MRAZ, SPENCER",,05/05/98,M5,,,,,,,,,,687437,,,,,0.00,1,0.00,,,,,,,
FA,D2017287ALC10,,1,"MUCKENHIRN, ZACH",L,02/27/95,UFA,," $740,000 ",,,,,,,,669105,,,,,0.00,1,0.00,,,,,,,
GLL,D2024141GLL05,,0,"MUETH, ZANDER",R,06/22/05,M3,,,,,,,,PIN 10,20.40,805800,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2014045CS102,,1,"MUJICA, JOSE",R,06/29/96,UFA,," $740,000 ",,,,,,,,620445,,,,,0.00,1,0.00,,,,,,,
SL1,D2023156SL106,,0,"MULE, NAZIER",R,10/15/04,M4,,,,,,,,,,702271,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2022684ALC26,,0,"MULLEN, SEAN",R,09/17/03,M4,,,,,,,,,,680863,,,,,0.00,0,0.00,,,,,,,
FM2,D2017056FM202,40,1,"MULLER, KYLE",L,10/07/97,A4,," $740,000 ",0.10,,,,,,,666205,KEEP,40," $740,000 ",,0.00,1,0.00,,,,,,,
RFS,D2016656ALD23,40,8,"MULLINS, CEDRIC",B,10/01/94,FA27,," $5,989,013 ",2.30,1.30,,,457,,,656775,KEEP,40," $5,989,013 ",,480.00,8,1.30,,,,,,,
FM2,D2022019FM201,40,6,"MUNCY, MAX",R,08/25/02,O,," $740,000 ",,-0.40,,,216,OAA 07,21.60,691777,KEEP,40," $740,000 ",,227.00,6,-0.40,,,,,,,
FA,D2013140ALC04,,5,"MUNCY, MAXWELL",L,08/25/90,UFA,2023," $740,000 ",2.40,2.90,,,329,,,571970,,,,,345.00,5,2.90,,,,,,,
FA,D2020327INC11,,0,"MUNOZ, ANDERSON",,08/04/98,MR5,,,,,,,,,,674468,,,,,0.00,0,0.00,,,,,,,
BGK,D2017619ALE21,40,1,"MUNOZ, ANDRES",R,01/16/99,FA28,," $11,119,299 ",0.70,1.90,0,65,,,,662253,KEEP,40," $11,119,299 ",,0.00,1,1.90,,,,,,,
FA,D2020656BGK24,,0,"MUNOZ, BRAUNY",,08/20/00,M5,,,,,,,,,,679560,,,,,0.00,0,0.00,,,,,,,
NYG,D2023331NYG12,,0,"MUNOZ, JEAN",,09/17/02,M4,,,,,,,,,,692663,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
HOG,D2023531HOG18,,6,"MUNOZ, MAIKOL",,10/21/03,M4,,,,,,,,,,694225,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
OSC,D2022704LVA27,RELEASE,1,"MUNOZ, RODDERY",R,10/06/03,O1,," $740,000 ",-1.60,-0.30,0,12,,,,682610,RELEASE,, $-   ,,0.00,1,-0.30,,,,,,,
NEE,D2025298NEE10,,1,"MUNOZ, ROLDDY",R/R,04/14/00,M2,,,,-0.20,0,4,,ATN 21,8.71,691548,KEEP,, $-   ,,0.00,1,-0.20,,,,,,,
ALC,D2023144ALC05,,6,"MUNOZ, SAMUEL",,09/22/04,M4,,,,,,,,,,703153,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2020607HOG21,,0,"MUNOZ, VICTOR",,12/25/00,MR5,,,,,,,,,,678756,,,,,0.00,0,0.00,,,,,,,
ALC,D2023690ALC25,RELEASE,0,"MUNOZ, WILKERMAN",,11/27/02,M4,,,,,,,,,,692859,RELEASE,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2013633NEE21,,4,"MUNOZ, YAIRO",R,01/23/95,UFA,," $740,000 ",,,,,,,,622168,,,,,0.00,4,0.00,,,,,,,
FA,D2023772BAB36,,8,"MUNOZ, YEUNI",,10/04/03,M2,,,,,,,,,,699097,,,,,0.00,8,0.00,,,,,,,
FA,D2017293MUN10,,1,"MURDOCK, NOAH",R,08/20/98,UFA,," $740,000 ",,0.00,0,18,,,,668716,,,,,0.00,1,0.00,,,,,,,
HAH,D2020414PBW14,WAIVE,1,"MURFEE, PENN",R,05/02/94,O3,," $740,000 ",,-0.10,0,13,,,,682171,KEEP,WAIVE," $740,000 ",,0.00,1,-0.10,,,,,,,
HOG,D2023502HOG17,,1,"MURILLO, JUAN",,08/19/02,M4,,,,,,,,,,800219,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
SPI,D2024732SPI26,,0,"MURPHY, CHANDLER",R,12/18/00,M3,,,,,,,,,,686489,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2020076FM203,,1,"MURPHY, CHRIS",L,06/05/98,UFA,," $740,000 ",,-0.20,0,36,,BOA 29,2.40,669684,,,,,0.00,1,-0.20,,,,,,,
KC1,D2025662KC124,,8,"MURPHY, KAI",L/L,08/26/00,M2,,,,,,,,,,687625,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
HAH,D2022230SHC08,,0,"MURPHY, LUKE",R,11/05/99,M5,,,,,,,,,,684665,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
BBS,D2023027LVA1S,,0,"MURPHY, OWEN",R,09/27/03,M4,,,,,,,,ATN 06,21.79,702566,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FA,D2014100ALC04,,1,"MURPHY, PATRICK",R,06/10/95,UFA,," $740,000 ",,,,,,,,641907,,,,,0.00,1,0.00,,,,,,,
HAH,D2021121MOR05,,0,"MURPHY, RYAN",R,10/08/99,MR5,,,,,,,,,,694885,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
FM2,D2017083FM203,40,2,"MURPHY, SEAN",R,10/04/94,A5,," $3,544,506 ",0.80,2.00,,,306,,,669221,KEEP,40," $3,544,506 ",,321.00,2,2.00,,,,,,,
FA,D2013056BRBCB,,2,"MURPHY, TOM",R,04/03/91,UFA,," $740,000 ",-0.50,,,,,,,608596,,,,,0.00,2,0.00,,,,,,,
WBR,D2022307WBR11,,8,"MURR, AUSTIN",L,01/26/99,M5,,,,,,,,,,689456,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
KC1,D2024134KC105,,5,"MURRAY JR., B.J.",B,01/05/00,M3,,,,,,,,,,681230,KEEP,, $-   ,,0.00,5,0.00,,,,,,,
MOE,D2022286SSC10,RELEASE,6,"MURRAY, ETHAN",R,05/13/00,M5,,,,,,,,,,696140,RELEASE,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2020543ALC19,,0,"MURRAY, JAYDEN",,04/11/97,M5,,,,0.30,1,12,,,,681151,,,,,0.00,0,0.30,,,,,,,
FA,D2019234PEC08,,0,"MURRAY, JOEY",R,09/23/96,MR5,,,,,,,,,,680765,,,,,0.00,0,0.00,,,,,,,
BRB,D2021111BRB04,,6,"MURRAY, TANNER",,09/03/99,MR5,,,,,,,,,,695020,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2022648RFS23,,2,"MURZI, IVAN",R,09/24/03,M4,,,,,,,,,,678479,,,,,0.00,2,0.00,,,,,,,
KC1,D2025256KC109,,2,"MUSETT, ANDRUW",R/R,11/21/05,M2,,,,,,,,BOA HM,0.00,808104,KEEP,, $-   ,,0.00,2,0.00,,,,,,,
BAM,D2012081BOB02,40,0,"MUSGROVE, JOSEPH",R,12/04/92,FA28,2024," $11,797,534 ",1.40,,,,,,,605397,INJURED,40," $2,359,507 ",,0.00,0,0.00,,,,,,,
MUN,D2024504CHH17,,0,"MUSGROVE, TUCKER",R,02/01/02,M3,,,,,,,,,,814491,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
TUT,D2016693SIM26,,1,"MUSHINSKI, PARKER ",L,11/22/95,MR5,,,-0.10,,,,,,,656786,KEEP,, $-   ,,0.00,1,0.00,,,,,,,
ALC,D2017552KC119,RELEASE,8,"MUZZIOTTI, SIMON",L,12/27/98,MR5,,,,,,,,,,665922,RELEASE,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2019459BAB16,,0,"MYATT, TANNER",R,05/21/98,M5,,,,,,,,,,669251,,,,,0.00,0,0.00,,,,,,,
OSC,D2018453RCR16,40,8,"MYERS, DANE ",R,03/08/96,O1,," $740,000 ",0.70,0.00,,,322,,,667472,KEEP,40," $740,000 ",,338.00,8,0.00,,,,,,,
HIB,D2025626HIB22,,8,"MYERS, KOLE",L/R,12/28/00,M2,,,,,,,,,,801887,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
ALC,D2022729ALC31,,0,"MYERS, MITCH",,09/17/03,M5,,,,,,,,,,688490,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
RFS,D2017452WT116,40,0,"MYERS, TOBIAS",R,08/05/98,O1,," $740,000 ",2.20,0.40,6,53,,,,668964,KEEP,40," $740,000 ",,0.00,0,0.40,,,,,,,
FA,D2010MUN01,,8,"MYERS, WILLIAM",R,12/10/90,UFA,," $740,000 ",,,,,,,,571976,,,,,0.00,8,0.00,,,,,,,
KEC,D2024727KEC26,,6,"NADAL, DEMETRIO",R,07/03/04,M3,,,,,,,,,,702391,KEEP,, $-   ,,0.00,6,0.00,,,,,,,
FA,D2018469ALC16,,1,"NAIL, BRENDAN ",,12/09/96,M5,,,,,,,,,,678041,,,,,0.00,1,0.00,,,,,,,
FA,D2017350MOR12,,1,"NAILE, JAMES",R,02/08/93,UFA,," $740,000 ",,,,,,,,664942,,,,,0.00,1,0.00,,,,,,,
FA,FA2023KC1,,1,"NANCE, TOMMY",R,03/19/91,UFA,," $740,000 ",0.10,0.80,0,33,,,,667297,,,,,0.00,1,0.80,,,,,,,
SAG,D2024454SAG16,,8,"NANKIL, NATE",R,10/16/02,M3,,,,,,,,OAA HM,0.00,694977,KEEP,, $-   ,,0.00,8,0.00,,,,,,,
FA,D2013013BRD01,,8,"NAQUIN, TYLER",L,04/24/91,UFA,," $740,000 ",,,,,,,,571980,,,,,0.00,8,0.00,,,,,,,
SL1,D2020213SL108,,3,"NARANJO, JOE",,05/11/01,MR5,,,,,,,,,,683172,KEEP,, $-   ,,0.00,3,0.00,,,,,,,
HIB,D2022360HIB12,40,1,"NARDI, ANDREW",L,08/18/98,O2,," $740,000 ",0.70,,,,,,,677053,INJURED,40," $740,000 ",,0.00,1,0.00,,,,,,,
CHH,D2025565CHH19,,0,"NARVAEZ, BRAYAN",R/R,10/20/04,M2,,,,,,,,,,808352,KEEP,, $-   ,,0.00,0,0.00,,,,,,,
LVA,"D2017476HOG16
D2024682LVA24",40,2,"NARVAEZ, CARLOS",R,11/26/98,O,," $740,000 ",0.00,2.70,,,423,BOA 28,3.60,665966,KEEP,40," $740,000 ",,444.00,2,2.70,,,,,,,
FA,D2022223BGK08,,2,"NARVAEZ, EFRENYER",R,07/25/02,M3,,,,,,,,,,683534,,,,,0.00,2,0.00,,,,,,,
